index,prompt,evaluation_seed,coco_id
16269,a cat standing in a purple litter box with green litter and lots of poop,66045,363431
3961,A small and near bathroom that's inside someone's house.,60501,34760
13311,A cat taking a nap on top of a keyboard.,53500,325331
28519,A skateboarder jumping off a skateboard ramp performing a trick.,48324,130812
1786,A car parked outside of a gas station with chrome rims.,56183,552824
14079,A cluttered bedroom with books on the bed,93603,487438
13225,A cow standing between two cars on a dirt lot.,96744,239387
15262,A man standing next to a small red truck with two american flags sticking out of it.,33340,361521
28287,A woman covers her mouth as she is presented a birthday cake.  ,40774,350855
11701,A group of walkers are seen while passengers ride in a train.,66522,471023
21353,A grasshopper in a cage eating a slice of carrot.,32458,296303
20260,A group of children on skis lined up ,97511,567320
11309,A group of four birds sitting on top of a tree branch below a clock tower.,69334,482526
24433,A man riding skis down a snow covered slope.,9656,8853
21746,"A brown bear next to a fence with words reading ""bear and wolf museum.""",89438,551739
6459,A woman orders food from an outdoor vendor.,19632,140963
9116,A close up of a school bus parked on the side of the road.,72268,340386
29740,Two DVD cases with both of them relating to cats. ,44276,278134
486,A man walking his bike past a wooden boat.,81696,298784
14755,Four cows of various color grazing in a field.,84972,397309
29097,Dozens of donuts are under a glass display case.,88389,234169
824,A beach filled with people flying colorful kites,31259,560879
19435,A large cow walks over a fox in the grass.,66521,11169
5822,A man riding a bike across a cross walk with a dog.,73858,153692
15368,A brown bear cub walking in a forest area next to a rock.,88694,75786
22209,A man riding a water ski kicking up waves.,5193,530619
15111,A marina filled with boats under a cloudy blue sky.,53183,384215
10368,A skyscraper reflecting the blue sky near a street lamp,6975,405213
1539,Two men riding motorcycles and ATV on a walk way.,59063,177338
6875,A brightly colored red and green bus is parked.,39372,102400
29131,A plate holding a slice of bread with mayonnaise and chicken tenders and another piece of bread with nothing.,613,373789
24167,A bear with a flat head stands in an enclosure. ,9359,75090
24218,A person on a surfboard in the water.,29630,42190
9813,A train with bright lights on it under utility wires.,16388,462584
13236,A man wearing a polo and a tie posing.,85993,372300
14882,A white cat sitting on top of a laptop computer.,51539,12443
11423,Two benches sit in front of a large store.,49975,130651
26599,A large sandwich filled with sausages on a tray.,94334,190185
9144,Two giraffe standing next to each other on a lush green field.,88833,561050
13747,A man in a shirt and tie making a creepy face.,90937,301993
19894,A cute blonde woman leading a brown horse with a child riding it.,4827,339009
5713,A man standing next to a white frisbee flying over a field.,98160,148128
29991,a vintage photo of man standing in the middle of some waves,43713,43693
314,A man sitting in a window ledge with a cell phone in his hand.,17262,411564
16988,a cat sleeping near lots of pairs of shoes,98987,231998
8531,A herd of deer walking across a rocky hillside.,4262,507918
20256,A man playing a game of sports with a hard swing baseball ,89561,227019
26493,A snowboarder doing a trick in the air with a building behind,23920,548878
16715,Three sail boats are traveling in the sea near a tree covered hill.,1873,564484
19924,A man riding his horse in some deep water.,29342,426815
23006,Bananas are growing amongst thick tropical plants and flowers.,66734,380343
25509,A plate of food including bread and vegetables.,41465,148898
11270,A bench sitting in a park next to a tree.,44798,383026
8619,a red bus standing by the side of the road,10860,283820
15787,A white boat traveling through a river surrounded by trees..,39508,173053
23846,A white and brown dog playing with frisbee in the field,41932,498657
13069,a street light is on at the top of a hilll,94552,273617
270,Kitchen area with counter top space and dining room table. ,14390,298396
19616,A dog sitting on a couch with its head cocked to the side.,10511,389933
19873,A hand is holding small red and green apples.,89641,486232
19792,A zebra and boar running through a field.,10057,135037
22827,A baseball player standing in the outfield waiting for a play.,71277,492323
20914,A collage of boys dressed as baseball fans.,7483,98717
17171,A long red boat traveling under a bridge on a river.,73964,17667
25352,there are two men holding a frisbee together,22678,175506
13779,a person walking down a sidewalk holding a colorful umbrella,82352,115075
25988,A polar bear walking down the snow in the day.,7349,81081
2934,A smaller kitchen with a very decorated fridge. ,49199,407614
9554,Two ducks are swimming in the water of a pond.,46996,167810
1537,A kitchen filled with metal appliances and a window.,80543,127182
2677,Jet flying in the sky among the clouds.,49404,262800
12405,An older white motorhome pulled over on the side of a highway.,65751,244005
4409,a man standing by his bike with his hands on the seat,56108,76942
3107,A bus traveling down a city street at night.,80738,304044
28455,A man rides his skateboard near a drain pipe system. ,68756,581062
25680,A boy that is standing on a skateboard.,83210,460346
19205,Two headless mannequins display fashionable clothing in front of a pink background.,64336,423944
23414,Two horses standing behind fence with grassy leaves,88970,185366
3811,A white refrigerator and a counter in a room.,19184,540502
18104,A group of young men sitting next to each other on a wall.,64052,228300
4563,A bike leaning against an unmade and dirty bed.,23664,2139
22902,A brown horse with white fetlocks grazing in a fenced in yard.,84793,290957
18247,A picture of a livestock with the american flag and blue and white ribbons hanging from the ceiling. ,31598,409850
19997,Several cross country skiers skiing at night over the snow.,50163,470095
26655,A woman walking next to a snowboard on a ski covered slope.,50818,493279
23409,people walking and skiing along part of a hill,16158,92804
3406,Heavily loaded green truck with passengers on back in roadway in urban area.,95213,290798
2795,"A bathroom area with a tub, sink and wooden floor.",91932,272863
11849,A lone giraffe is walking around his enclosure,53148,413001
13057,Several people walking on a platform next to a train.,69770,58137
23366,A table with some oranges and some cups.,27168,45472
440,Plane on the tar mat of an airport.,25055,283498
28025,A piece of pizza sitting on top of a white plate.,66511,362951
205,A stoic looking cat sits in a green bowl.,86600,510150
17535,Two elephants that are standing near the water.,22029,315178
29618,a sleeping child in a bed with a black and white cover,89223,35062
17509,People gather around a truck parked on a boat. ,58720,59015
9872,a man standing on top of a steam engine train,5760,483550
20855,A mama horse walking in front of a baby horse.,80917,5146
25442,A large brown horse walking across a grass covered field.,22339,421109
20599,A young woman holding a white frisbee while standing on a grass field.,45698,162855
10088,A person with a safety vest in front of a bus.,34010,320901
17853,A small white boat driving past two light houses.,18100,179229
20275,A large number of people standing together in a field,57074,500844
17820,An elephant picks up an object with its trunk,25796,43128
27899,A plate holding a sandwich on a blue mat.,48015,244181
4404,A man laying on the ground in front of a motorcycle.,42328,537206
18144,wild animals graze in fields in front of a lake and snow-covered mountains,68726,457693
7245,An airplane nose sits in a hangar. ,33473,220025
4827,A red and black smart car parked next to a parking meter.,61523,198775
10229,A flock of sheep graze beneath trees in a green pasture filled with wildflowers.,93881,160820
303,An airplane flying in a blue sky with it's landing gear down.,49328,85145
9130,A doughnut shop sign hanging off the side of a building.,50961,244636
24005,A young boy riding a skateboard and wearing a helmet.,43089,391862
28378,Three pieces of sliced pizza on a wooden surface.,82782,176060
21501,"Apples, fresh granola, cream and a wooden spoon",539,51801
3267,Floor length urinals in a tiled public restroom.,45707,92014
29441,A brown baskets filled with lots of remotes and game controllers.,84312,128970
8474,A large herd of sheep crossing over a dirt roadway.,86531,578776
23667,A large white horse walking along side the road.,64347,101828
10407,A seagull drinks water from a pool of water. ,6209,213361
218,A bathroom sink and towels hanging on the door.,2501,548706
29946,A man in a restaurant admiring a gigantic pizza.,44605,303611
195,Light from an open door shines on a simple wooden pew in a church.,60177,561620
12200,"A damaged sign that says ""STATE LAW YIELD TO PEDESTRIANS WITHIN CROSSWALK.""",4312,456611
23687,The zebra is looking in the window of that car.,60430,236925
17095,THERE ARE WOMEN THAT ARE LAUGHING UNDER THE UMBRELLA,37831,301867
21942,A skier posing on a steep snowy hill.,99469,64462
24169,A horse and a dog inside a fenced in field of grass.,1201,519728
949,The large mirror has bright lighting behind it.,79700,352000
3881,One of the oldest buildings in this town.,22365,515565
4349,This is a picture of a kitchen in a poverty area of a town.,4566,98018
25197,A man with a tattoo on his back and a frisbee in his hand. ,3814,138220
2335,People and bicycles in a crowded street in China.,97550,534736
7848,Two cops standing in front of a street on a cross walk.,20051,277094
3989,a room showing a toilet and a bathtub,35148,435005
29882,A person on a court with a tennis racket.,3061,382009
23675,Three zebras roam a field together side by side. ,42806,443278
15031,A herd of wild animals grazing on green grass next to a lake.,22545,393840
905,Man in a restaurant kitchen preparing a meal.,5038,35525
13136,A heavy old truck sits in the dirt.,19914,428175
24136,A person riding skis down a snow covered slope.,762,30719
1021,A man riding a motorcycle in pink furry boots.,33012,434467
29826,A girl sitting at a desk eating something in a bowl.,85878,196074
19494,"A laptop computer sitting on a  table, next to a rocking chair.",25763,5804
2728,A man and a boy standing next to a tall giraffe.,99480,68650
8031,A railroad train letting off a big black smokecloud,53233,346107
26039,A stir fry bowl of broccoli and a bowl of meatballs.,44144,147256
3212,A bathroom located off of a dirty kitchen,85190,437910
18804,A large white trash truck with a painting on it's side.,84699,372037
7877,A green park bench underneath a tree in a park.,40573,527960
15879,Lady standing in airport with luggage in front of her ,39551,118867
22994,A man wearing skis holding two ski poles.,49523,80145
29691,an old black and white photo of a tennis player,9074,327617
19004,A brown horse standing next to a metal fence.,38540,189868
18685,An older pickup truck with decorative murals painted on.,65625,338428
22802,A man in glasses is eating a sandwich.,21006,578330
21302,"A table topped with apples, oranges and pears.",28719,94563
14094,A picture of a person a dog and a horse.,58744,371427
27070,a skateboarder in a blue jacket is doing a trick,74752,473118
10712,The street worker is holding a stop sign near a truck.,79427,559884
9469,there is a small seagull standing by the water,80847,227691
22249,"The meal on the plate has turkey, dressing, and mashed potatoes.",62577,479011
13622,A bearded man in glasses and his cat,75253,529590
21233,There are several horses getting ready to race.,29872,102461
8990,A city bus driving on the street in the snow.,71794,453954
7306,A traffic light with four signals sitting next to a tall building.,12824,367843
10959,THERE IS A PERSON THAT IS SITTING IN THE BOAT ON THE WATER,69637,484551
6332,A bike parked next to a cluster of trees.,60532,453138
330,A rotten door leading into a restroom covered in filth.,11621,108283
15292,A group of young women standing under trees in a park.,43256,115765
5062,a group of people are crammed in a small area on motor bikes ,72909,41570
9256,A group of white herons nesting in a marshy area.,87228,515727
29766,a male tennis player in a red shirt is playing tennis,61353,213403
23484,A man that has a skateboard in the air.,75509,128699
23888,A beautiful woman riding on the back of a white horse.,14458,533283
2825,A motorcycle parked in a parking lot next to a car.,31588,255279
10553,A large commercial airplane parked on the runway,74559,266099
2990,A sign is displayed next to piles of sand.,60243,201555
11016,A giraffe standing next to a stone wall.,34677,384848
27502,A woman sitting at a small wooden table with two yellow chairs.,72128,461715
15916,A person in pink teddy bear mascot suit on sidewalk under a traffic light.,94419,384152
27351,Three pastry desserts and two glasses of wine are on a table. ,64329,416885
16426,A large white and black dog laying on top of a couch.,26386,34773
22049,A person getting ready to use an apple slicer,90302,420229
5939,A kitchen that has various paintings on the walls and a large fish aquarium against the wall.,78671,569251
20458,A man selling bananas and other fruits in a street market to passerbys.,8904,375461
5227,A small bathroom with a shower curtain and toilet,17013,60364
2021,An older person sitting on a wooden bench.,10348,497674
6709,Two sheep are bent down grazing on grass.,70000,112128
15961,A boat parked on top of a beach in crystal blue water.,48776,82576
13034,A man who is making some gestures in front of a street sign.,80893,16076
2178,Giraffes and zebra watching a zookeeper in their enclosure.,50919,487095
10506,a bus on a city street next to a traffic light,76318,567013
9040,A red kite sitting on top of a lush green field.,88658,342380
15772,a close up of a baby wearing a bow tie,71435,136555
14869,A pile of luggage sitting on the floor of an airport.,9697,432160
26897,A man holding a tennis racquet on a tennis court.,88469,133418
11177,a green light over a street at an intersection,24546,260048
25481,A couple of small horses walking across a field.,51607,371194
26129,Two people in a park who are playing frisbee.,89570,392391
27955,A woman grabbing a piece of cake off the top of a plate.,79515,159736
21662,A counter top with meta and veggies cut up.,76790,378098
16604,"A rather large heard of elephants, including a baby. ",54423,121326
25005,A herd of zebras is grazing in a grassy field.,55632,405778
9873,Two giraffes eating leaves at a watering hole. ,75872,335033
13507,A trunk filled with plants with a mirror behind it.,44975,554142
8415,A bent traffic light next to the side of a street.,26548,319607
11912,The bird sits on a thin branch near berries.,85660,389957
10768,A man holding and pointing to a jumbo remote control in clear package in a store aisle.,29784,92332
22036,A lone zebra standing near some water and bushes.,48244,259614
21996,A large polar bear playing with two balls.,36667,492723
23611,a polar bear near rocks made to look like ice,41063,243075
29810,a person with a wake board in a body of water,74567,357379
7720,A very green bench that is in some grass.,21589,282176
18197,An orange and white cat standing on top of a beach.,60395,228764
25391,A man is holding a camera on a rig while skateboarding in a parking lot.,56699,186083
13259,an orange fire truck parked in a wharehouse,55650,292662
15825,A set of three neck ties with pictures of dogs and cats on them.,28649,189504
3476,A woman standing next to a standing toilet.,70907,354685
25754,A display of vegetables is set up in front of a pickup.,8102,440991
5737,A little girl that is standing near a toilet.,46562,427476
25712,this is horses racing each other on dirt,72445,81224
25704,A zebra displays its rear end and turns its head.,33464,200720
20484,Two people ride on horses past a shallow stream.,35634,170173
13161,"A burgundy low-rider show-quality, hot rod Chevy truck.",74167,41633
20127,"Two monkeys, one with a banana at a tourist stop",29108,240259
24932,The skier is wearing a blue snowsuit and the person behind her is wearing red. ,88426,496548
23826,A man's feet resting on a skateboard ,96984,292428
23275,A plate holds pasta and broccoli in a light sauce.,45356,100090
21455,A horse drawn fire truck traveling across a field.,67945,532994
22894,a baseball player is a bat during a game,70589,255274
28987,A couple cutting their red and white wedding cake,60368,70201
5797,A small airplane sitting on top of a runway.,38860,497878
14669,A computer desk topped with a desktop computer and a laptop.,39165,527375
25039,A man cuts a cake with a rather larger knife.,33980,113571
17500,A parking meter next to a handicap parking space.,37984,430871
21801,Young skateboarder showing off learned skills next to building.,89455,295138
8822,There is a yellow and green train seen riding on the tracks,48128,247543
24606,A couple of cops riding on the back of brown horses.,73508,322029
7887,A traffic light with a picture of a coffee cup underneath it.,8455,555390
8407,Two giraffe standing next to each other near  brick building.,16983,472557
802,A bathroom with a vanity mirror next to a white toilet.,61649,545317
23964,A young man doing tricks with his frisbee. ,54262,143554
27874,A room with a bed with black floral sheets and a night stand.,55118,302608
15410,A dog is reaching up to grab a Frisbee in his mouth.,61118,138492
12503,A giraffe near a white door on a brick wall. ,34447,305351
10018,A heard of sheep together in a wheat field. ,42802,430254
3070,A kitchen that is ready to have appliances put into it.,57708,545101
5424,Kitchen utensils and appliances have been left unattended,15289,78266
2060,A passenger jet filled with purple and blue seats.,13940,105465
12120,A group of people getting onto a bus.,29360,502402
14665,Businessmen listening to a military man speaking in a hangar,29863,491064
22086,A man wearing a baseball uniform while standing on a field.,82005,415648
1391,"An elegant bathroom features a tub, sink, mirror, and decorations. ",16622,472621
3397,Black and white photo of two men riding bikes.,57295,4069
6462,A large jetliner flying through a cloudy gray sky.,27083,259421
12994,a couple of people are in line at a vendor,40876,241728
11873,Birthday cake with bird and congratulatory message for sports team.,17543,535563
24531,A man is skiing and hiking in the snow. ,83764,331403
21396,A man in a wagon drawn by two draught horses.,27758,95702
16760,A man is shaking hands with another man.,52052,4134
17387,A beach is full of umbrellas and beach chairs.,90407,388846
25943,a couple of bananas and some other fruit,2905,329533
837,The reflection of a man taking  a picture in a mirror,81104,202228
24487,A woman standing in front of an apple.,81934,572090
25425,A person that is on ski's standing in the snow.,89525,240817
29893,The man holds a ping pong paddle under the shelf on a wall.,8059,112298
14711,A large brown dog standing next to a home plate.,63081,307265
9434,A woman who is holding her little dog.,34597,468487
18838,Dog lying on bedding material in suitcase in large room.,34490,513125
9206,There is a wooden decoration on the desk. ,48670,568529
13174,An umbrella on a beach with other people.,86364,265547
466,China Airlines plain on the ground at an airport with baggage cars nearby.,66120,488278
4880,A humble kitchen has a stove and microwave. ,47507,541550
15677, a large body of water with boats floating within it ,83274,483375
22292,A plate of bananas and sliced oranges covered in butterflies.,30159,191761
24110,A woman standing next to a group of horses on a field.,96153,348474
5099,Many electronic wires pass over the road with few cars on it.,91057,309391
5635,a cat sitting in a sink with its eyes open,70934,185773
16421,A hairy brown cow laying on top of a field.,23485,76155
7491,A snowy scene of trees and a road.,37097,319127
20570,Two people are playing in sand with a frisbee.,7702,504589
11809,A car driving down the road in a neighborhood.,19805,499388
11174,A dog sits on grass next to a fire hydrant while a person holds a leash and a bag filled with dog poop,18058,198935
24085,a couple of people on skis ride on the snow ,81978,339346
2032,A person riding a motorcycle down a street.,71449,579902
16442,A group of people sitting at two long tables in room.,3448,136644
10833,"An African type landscape with giraffes, wildebeests and antelope.",36378,296317
27117,A bedroom with a large bed sitting next to a black dresser.,45597,218091
29328,A man in a wet suit surfs in a flash flood by a bridge.,3982,269786
15169,2 smiling men ring a gong in unison.,10119,227607
542,A grey van in front if a parking meter that takes credit cards.,88755,559252
5202,A cozy bed stands between two windows within an upstairs bedroom.,99878,70813
22136,A kid is riding down the street on a skateboard.,66058,442463
14950,a male is riding an elephant next to some water,36537,324040
26037,a big brown bear walking through some grass,60546,534935
10620,A group of people are on a safari in a vehicle and they are viewing a giraffe.,57737,543181
26570,A surfer carrying his surf board out of the ocean.,15359,145215
25440,A cake sitting on top of a pan on a table.,56997,193387
29148,This expert skateboarder is skateboarding on a railing.,43841,189067
14759,A brown and white cow standing in the middle of a gravel path.,65180,374629
14403,A couple bags of luggage that are on the ground.,10692,485343
13798,A group of four men riding a rowboat across a river.,41941,577033
22628,A large crowd watching a professional baseball game,84682,214692
4623,An Aer Lingus plane touches down on an airport runway.,67774,11347
16457,a person siting on a brick wall with a tie,71591,473839
27408,A man standing in the waves holding a surfboard.,85879,313762
24948,Young men playing a game of base ball,46736,361913
29167,A woman is sitting at a table and eating with two children.,26025,153231
3720,A girl is taking a selfie while brushing her teeth.,7189,507473
25871,A close up view of a bunch of electronics.,17763,37900
19937,A lady in a shop with a piece of cake with lit candles.,48890,134386
28425,A man looking at something while holding his hot dog up.,14471,178691
4131,A large group of people crammed into and on top of a truck.,48931,493610
10880,A large red sign on a metal pole.,89504,218388
11897,A city street with cars and street lights.,15245,54967
11146,The young girl is standing by the fire hydrant in curlers.,65036,176466
11762,a train that is on a train track,24506,448786
18743,"a little boy with a suit, tie and glasses",31297,336341
12444,Several people helping to load luggage onto a train.,32412,159402
9115,A large green field with a bench in the foreground.,81871,314541
5765,A toilet sitting in a bathroom next to a sink.,89154,235699
18182,A couple of men standing next to a woman.,65561,498915
22492,A person with skis in the snow with two dogs.,91421,99807
22370,A sign for oranges for sale that read twenty five cents per pound.,82041,157270
25903,A plate that has broccoli and meat on it.,50590,385174
24878,A man in black leading an all white horse,23582,316795
20916,A skier with poles extended skiing by a flag post.,68969,361399
21870,A man riding skis down the side of a snow covered slope.,46761,44029
22399,A group of baseball players are giving high fives.,40373,415001
6859,Two signs are shown up above a street.,82091,190680
27930,A white plate topped with onion rings and a corned beef sandwich.,69178,22072
24780,A batter that is watching the ball go past them to the catcher. ,16111,43657
10903,A double decker bus parked on the street.,81523,507330
29299,A laptop on the top of a surfboard.,71188,333703
7361,A white gazebo surrounded by landscaping and trees.,84677,157067
6892,Two giraffe walking through a lush green field.,83947,144250
20017,A person is organizing food on to platters,3683,131282
21987,two zebras standing by a car in front of some trees,1797,395723
19622,The umbrella is inside of a potted plant on the wooden balcony.,90145,38645
10444,A transit bus riding through a city street at night.,69668,176037
1448,A man helps a woman sit on a bike.,17063,295403
6371,A row of different colored motor scooters sitting in front of a store.,3189,35952
20569,A zebra is lying on the ground with other zebras.,57486,376278
3803,Someone is taking a basic shot of the bathroom. ,89465,176275
5479,An airplane close to the ground with its landing gear dropped,44409,22797
20519,A bunch of green bananas hanging from a banana tree.,25492,460559
10062,"Park with grass, chair and bird on sidewalk.",95426,136008
13842,Two boats resting ashore on a wide river.,55164,248270
2516,A large kitchen with a stove and a sink.,41448,309033
1798,A metal bowl filled with wet juicy oranges.,14058,128280
8693,A white street sign sitting on the side of a road.,73817,390368
25923,A brown bear cub and a raccoon eating berries in the woods.,68733,328499
22548,Some skiers are going down a snow covered hill.,20170,341389
7078,A series of different bridges over a large body of water.,95235,332007
18029,A horse standing next to a man in a hat. ,55347,434083
7533,A wooden post showing different paths to be taken,93566,397287
15669,a surfer in a wet suit is carrying a red and white board,80652,559062
6941,A passenger bus traveling down a street behind a red car.,35651,222340
19536,Two parking meters take credit cards and allow 2 hour parking,71199,554740
21930,A large green banana plant sitting next to a wooden fence.,53006,66179
10178,A yellow cat is wearing a blue plastic baseball hat.,29844,475732
27963,a small boy with a hat playing with a remote,91271,245460
5752,A bathroom sink and mirror reflecting the shower and bathtub.,49521,557172
9057,A school bus and pedestrians crossing a bridge in a city.,79473,130352
5002,A woman takes a selfie picture with a giraffe in the background.,90880,315018
10631,"A car parked on the dirt, with a bunch of airplanes behind it.",542,133279
17327,An elephant standing next to a tree outside.,95702,62170
6242,A bike sitting near the water that has boats in it.,34036,526622
20228,Two girls sitting on a bed eating bananas together. ,17790,337563
26934,Two young boys sitting in bed together under blankets.,99176,50025
17396,A young man with his mouth open extending his neck tie out in front of him.,40653,227986
15465,A giant elephant standing next to a small elephant.,24373,140713
273,A bathroom with a sliding shower door next to a toilet.,30354,187513
7857,A stoplight that is green on the street.,36703,447842
3237,A gang of bikers driving down a rural country road.,87322,576871
10560,A rusted out train engine sitting next to a green forest.,4649,57244
4219,A large plane with people alighting at the airport,57450,409119
305,Dog in parking lot and on a leash.,49060,102735
2774,A long line of white urinals in a public restroom.,67301,26045
21628,A tree filled with lots of apples and leaves.,71534,567444
15154,The young man is outside playing a game of Frisbee. ,68801,88485
9082,a sign out side a very tall building.,36495,231984
6374,a cat that is standing on a toilet and next to a sink,86100,157807
4002,A green bench sitting on the side of a sidewalk.,39534,237984
14864,A gray and white cat drinking milk from a bottle.,79200,124002
13159,A photograph of a group of people at a party.,60501,400048
21394,A glass plate topped with a piece of cake.,70075,361972
1555,A biplane flying over a small church with a steeple.,30842,504811
10994,An orange detour sign hanging from a metal pole under a cloudy sky.,56508,16903
5351,Small woman with a cooking apron around her waste reaching into the oven and pulling out a plate of food.,45516,321811
971,A cat crouched over sitting by a brick wall.,22868,163155
12194,A man by a park bench is taking off his pants.,18993,106096
10639,An old fire hydrant in the middle of the woods.,49949,66510
21118,A display case in a store filled with apples and oranges.,1243,136271
22585,A large horse studding next to a baby horse.,93488,272961
27946,A man riding a snowboard down the side of a snow covered slope.,6916,168746
28807,A man standing in front of a flat screen TV holding a Wii game controller.,31354,206268
1102,A cop car parked in front of a white fire hydrant.,77362,257448
27759,A pile of donuts sits beside a cup of coffee.,70433,147586
15826,A man wearing a red hat and a red neck tie.,40723,206591
10527,A young girl sitting on a park bench.,99741,470536
12733,A bunch of statues that have hats on their head.,29114,230932
7309,A cat laying down on a wooden table in a park.,49805,500859
15072,A bookshelf with a bear toy and various books.,67150,83574
27107,A man using a pair of scissors to cut a pizza,8929,316503
2945,A medium sized home kitchen with wood cabinets.,64515,437898
12564,Two women that are sitting on a bus.,59270,529355
26459,A plae with a sandwich cut in half and french fries.,26065,153506
14298,a person standing next to many luggage bags,8684,74181
3992,A stove top oven sitting next to a tiled wall.,1447,97240
9361,There is a broken pink fire hydrant on a sidewalk,83422,21671
10850,The airplane has landed behind a fence with barbed wire,87841,490413
22723,a dog with spots on a bed and a stuffed animal,82297,65443
20107,A bowl of soup with broccoli next to a fork.,63526,484280
5316,A large white castle like building with a statue in front. ,36249,448983
8968,A large white dog is sitting on a bench beside an elderly man.,46672,334321
2260,A large white clock tower sitting on top of a large building.,45774,449038
20160,A black and white spotted horse in a pasture.,30164,449132
21596,A white paper plate topped with orange slices.,12189,274804
12770,A large commercial airliner is flying through the sky.,87028,233298
7072,People crossing the street of a busy city street.,95224,367029
9628,A herd of sheep moving up over a wall to a field from a sidewalk.,24704,534394
12489,A scary man wears a hat made out of bananas.,90601,64146
4121,"A bathroom containing a toilet, sink and bathtub with shower, with no accessories.",79241,308466
19126,A person who is playing piano under an umbrella.,3146,72839
19463,A man with a guitar in front of a microphone.,1305,411953
12330,A pond with two ducks swimming on top of it.,26179,396779
24819,A skier stands posing on a flat area in front of the lodge.,60144,95113
15341,A person wearing a vest and tie in a yearbook photo,9441,275717
23257,A few Zebras are standing in the wild together. ,52223,423810
14719,q close up of three men wearing suits and neck ties,38228,38586
14212,Some cows eat grass together in a field. ,30954,235857
28337,A man is smiling and holding a piece of cake.,63458,348941
9021,A post with a no right turn sign and a stop signs with stickers,65820,221820
8692,The road sign is visible for all to see. ,57597,260433
26532,A woman holding a hotdog and reaching for ketchup at a food cart.,94072,217522
25679,The meal of fish has a side of broccoli. ,22992,191580
6702,Several rows of track with a 'direct rail services' train on the furthest one. ,53472,264013
1317,A large passenger jet flying over a mountain.,24189,151347
4759,A giraffe and its pack standing in an enclosure.,74553,383676
20390,A young woman riding a skateboard at a skate park.,78144,451463
3432,A motorbike sitting in front of a wine display case,13838,550529
6201,cars that are stopped at a traffic light,74089,338105
27456,A man riding a skateboard on the side of a ramp.,50524,304596
13208,A stop sign has had the O replaced with George W. Bush Jr's likeness.,23442,479334
14447,A man stands next to a few pieces of luggage. ,94165,323682
1203,Several small electronic devices are sitting with a backpack at an airport window.,39766,378448
22230,A shiny metal pot filled with some diced veggies.,70122,89765
27928,A man riding a large wave on a surfboard in the ocean.,13420,10698
14124,A woman sitting at a table in front of a pile of luggage,2055,351810
27030,A laptop computer sitting on a bed by someones feet.,14603,308883
14460,Appliance Warehouse truck in a parking lot with two men shaking hands and other men standing behind.,62886,254789
18892,A commuter train at a stop in a major city.,261,85328
2077,People are hiding under colorful umbrellas on a rainy day.,47320,275161
26707,a person and a young child on a beach ,22637,256067
23502,A young man is sitting down with his skateboard. ,43437,31061
12522,A train going down the tracks that has just gone under a bridge.,57454,290261
15000,A dog with a blue frisbee in it's mouth.,89002,58849
12132,A giraffe lying on the ground in a zoo pin.,27290,403020
19119,One light brown cow with hay in it's mouth.,93184,308263
583,A plane on the tarmac with airport personnel.,30780,440124
14259,A man walking next to a girl holding a pink umbrella.,15556,21400
6249,A glass of milk next to a round purple vase.,51299,376365
29755,A man shrugs while missing a tennis ball in a tennis court.,85967,520478
22012,A person is walking through the snow on skis.,14249,26176
25529,A snowboarder buried up to his waste in snow.,58596,9727
21495,A girl hitching a ride with her Dad on a skateboard,91662,572182
1984,A white toilet sitting next to a window in a bathroom.,82344,144062
28277,A tennis player running forward during a tennis game.,55307,172088
13554,A man wearing a grey suit and tie in a room.,53630,245716
16415,A couple of cats lying in a red suit case on a bed.,81591,220292
19246,A stack of suitcases beside curtains made from white squares.,57209,434915
721,A glass vase filled with oranges on a table next to a plate filled with even more oranges.,74553,484080
23345,"A bear standing in grass next to rocks, behind a wire fence.",69941,93419
9363,two giraffes and an elk in the brush,4842,539302
10378,A couple of vehicles are side by side. ,75708,142585
17760,A man wearing his collar up with a untied neck tie.,83606,145149
26955,A couple of tennis players pose for the camera.,65882,330050
27180,A group of young girls playing a game of soccer.,49694,372913
8074,A bird is flying next to a ship in the ocean.,94514,331455
543,A men's public washroom with a blue floor. ,13101,347142
11228,An ugly looking street sign sitting on the corner of a street.,75150,260595
12402,A red fire hydrant with two red poles beside it.,1239,467484
28759,A close-up of a plate of food containing a hamburger and onion rings.,76592,531433
4366,A group of air planes sitting on a runway.,38830,150717
28162,A pizza sitting on top of a wooden cutting board.,26772,175718
27825,People are watching a movie on their laptop.,12910,290689
1492,A woman cooking with a large white bot and a cooking board with meat in it in a small kitchen.,89197,389974
15497,A cute cat sticking its head in a box of pizza.,56309,363325
16927,A kitten standing next to a bunch of bananas on a bed.,79850,259475
26947,A young person sitting at a table covered with plates of pizza.,33989,497009
3735,A no left turn sign hanging from the side of a wooden pole.,75313,328316
26660,Set of three plates sitting on a small metal display.,81850,489550
28847,A man in a grey shirt on a grey couch playing a videogame. ,55253,304186
23710,There is a skateboarder at the top of a small ramp.,93962,427870
27774,A little girl is eating a chocolate doughnut.,89026,2225
14730,A luggage cart sitting inside of a brick building.,70402,126272
5733,A man sitting on top of a toilet with a toy on his lap.,78819,32258
22542,A boy has one foot on the skateboard and another on the ground.,31855,569862
5764,a woman in the kitchen cooking some food,92681,325239
13701,Flowers sitting on the deck of a light green boat.,77550,424284
21362,A dog in the grass next to a water dish.,77530,320974
26010,Line of people skiing down a snowy slope.,61671,335325
29138,A man is kite surfing in the ocean.,23293,82718
28841,Several shots of a man in various positions with a tennis racquet.,29871,13904
